team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Ath Paranaense,36,23.6,,38,418,"3,420",38.0,41,31,72,39,2,4,72,1,1.08,0.82,1.89,1.03,1.84
Atlético Mineiro,39,26.8,,38,418,"3,420",38.0,47,32,79,42,5,5,83,2,1.24,0.84,2.08,1.11,1.95
Bahia,38,26.2,,38,418,"3,420",38.0,30,19,49,28,2,2,101,7,0.79,0.50,1.29,0.74,1.24
Botafogo (RJ),40,27.0,,38,418,"3,420",38.0,30,16,46,27,3,6,90,10,0.79,0.42,1.21,0.71,1.13
Chapecoense,40,27.0,,38,420,"3,420",38.0,38,25,63,36,2,2,68,2,1.00,0.66,1.66,0.95,1.61
Corinthians,28,26.2,,38,418,"3,420",38.0,48,34,82,44,4,5,73,3,1.26,0.89,2.16,1.16,2.05
Coritiba,34,26.5,,38,418,"3,420",38.0,42,30,72,40,2,2,97,2,1.11,0.79,1.89,1.05,1.84
Criciúma,52,26.7,,38,418,"3,420",38.0,28,16,44,26,2,3,118,5,0.74,0.42,1.16,0.68,1.11
Cruzeiro,37,26.4,,38,418,"3,420",38.0,66,41,107,61,5,6,70,2,1.74,1.08,2.82,1.61,2.68
Figueirense,41,25.2,,38,418,"3,420",38.0,36,26,62,34,2,2,98,10,0.95,0.68,1.63,0.89,1.58
Flamengo,36,27.0,,38,418,"3,420",38.0,44,29,73,41,3,6,68,4,1.16,0.76,1.92,1.08,1.84
Fluminense,32,27.3,,38,418,"3,420",38.0,55,34,89,49,6,7,79,5,1.45,0.89,2.34,1.29,2.18
Goiás,34,24.8,,38,418,"3,420",38.0,38,26,64,38,0,1,80,2,1.00,0.68,1.68,1.00,1.68
Grêmio,38,25.6,,38,418,"3,420",38.0,35,22,57,32,3,3,98,3,0.92,0.58,1.50,0.84,1.42
Internacional,38,27.8,,38,418,"3,420",38.0,52,41,93,51,1,3,97,6,1.37,1.08,2.45,1.34,2.42
Palmeiras,45,25.6,,38,418,"3,420",38.0,31,22,53,28,3,3,94,7,0.82,0.58,1.39,0.74,1.32
Santos,39,25.4,,38,418,"3,420",38.0,42,31,73,40,2,2,75,4,1.11,0.82,1.92,1.05,1.87
São Paulo,28,27.2,,38,418,"3,420",38.0,58,40,98,51,7,8,92,5,1.53,1.05,2.58,1.34,2.39
Sport Recife,34,27.0,,38,418,"3,420",38.0,35,19,54,33,2,2,75,2,0.92,0.50,1.42,0.87,1.37
Vitória,42,26.6,,38,418,"3,420",38.0,36,19,55,34,2,4,82,2,0.95,0.50,1.45,0.89,1.39
